value
"3,2010324064"
"61,8322198827"
"57,8190488506"
"380,4946207803"
"171,6599793041"
"138,5654348706"
"84,3912943265"
"24,6834429631"
"80,1338319256"
"15,9758005426"
"4,3906419084"
"6,6620352244"
"0,9862384544"
"1,9749208878"
"273,272330956"
"8,3937424682"
"75,9726225158"
"20,44997921"
"136,6885825414"
"12,6531679283"
"74,0996331003"
"75,7960063418"
"209,9392455637"
"244,5982739806"
"4,7181244481"
"99,6788945049"
"18,1303132152"
"0,4463846092"
"15,8021513836"
"33,3109556912"
"128,2373732039"
"23,4672945418"
"14,3798731696"
"158,9674372929"
"212,1020248087"
"0,8636445011"
"28,2231585451"
"71,2264829222"
"37,1683520243"
"0,0018779561"
"63,4489299789"
"117,4250682129"
"19,9283361183"
"26,9219685118"
"36,229691179"
"34,243009926"
"0,9838186527"
"147,4665304861"
"147,3269483248"
"36,2547177951"
"261,7458004361"
"5,9368261473"
"35,8753270288"
"25,2940618985"
"84,8524274715"
"215,9720836918"
"21,3428547993"
"360,1254362163"
"73,7926097998"
"126,3113910267"
"172,8423637462"
"4,4222758186"
"60,2303273033"
"63,0897890691"
"68,0711725712"
"9,6018000064"
"18,3942905715"
"308,783700031"
"32,7707236717"
"304,4168948457"
"7,4650209903"
"74,143755704"
"0,2058375715"
"1,7143450316"
"489,5949657438"
"18,6226985568"
"16,3308160229"
"76,5459774104"
"67,6761926422"
"183,6240071649"
"796,409298371"
"6,995383908"
"58,2212483355"
"170,8414187202"
"201,2276875283"
"9,8008611128"
"27,6053487513"
"78,8671847925"
"137,6395911436"
"7,0632210106"
"38,0372838191"
"48,3198890943"
"250,059215115"
"2,4507311001"
"167,3703956137"
"29,1288590523"
"2,7649579977"
"3,5229609256"
"102,1911170909"
"28,8676622"
"60,2756559869"
"287,1933781906"
"19,5785011193"
"8,4101507293"
"2,2340557644"
"225,2527513726"
"2,9815476461"
"21,7074685736"
"8,6474508566"
"32,5151287444"
"20,9648267866"
"50,4743629815"
"16,8403299902"
"26,3220087054"
"102,1617939754"
"185,4861420698"
"99,0782296242"
"255,7522508507"
"16,1891896014"
"68,0114290461"
"185,3502452497"
"75,8779271918"
"16,0286574105"
"57,1276776664"
"53,2131452493"
"192,63994278"
"2,0945772711"
"186,1623623222"
"40,2749550019"
"7,2527519717"
"8,4217403858"
"134,9004781505"
"499,8089066921"
"27,2995153181"
"7,737573086"
"0,9696019419"
"42,4418239842"
"243,3654468081"
"456,0431245285"
"17,3986497093"
"22,5137310648"
"11,8071877059"
"130,555549381"
"4,7754780926"
"1,2707307035"
"44,2985310073"
"116,3310703359"
"2,7204952499"
"10,6138321171"
"33,2570246578"
"18,356778139"
"78,3311688611"
"0,3302372347"
"36,2154880705"
"337,6997226391"
"28,9578368386"
"7,5371676567"
"6,9918651583"
"19,7925764285"
"94,1727806224"
"9,1855629763"
"178,0611133671"
"7,8015857728"
"7,5223449639"
"17,1724024227"
"6,7313006587"
"37,3653754152"
"173,0790041689"
"165,8888190129"
